aircraft_id,start_time,end_time,time_to_destination,num_aircraft,run_id
A0,8.0,22.9,14.9,6,1
A1,16.0,31.0,15.0,6,1
A2,24.0,33.9,9.9,6,1
A3,32.0,48.1,16.1,6,1
A4,40.0,55.3,15.3,6,1
A5,48.0,64.8,16.8,6,1
A0,8.0,18.9,10.9,6,2
A1,16.0,27.9,11.9,6,2
A2,24.0,39.2,15.2,6,2
A3,32.0,43.2,11.2,6,2
A4,40.0,55.0,15.0,6,2
A5,48.0,62.8,14.8,6,2
A0,8.0,19.9,11.9,6,3
A1,16.0,28.9,12.9,6,3
A2,24.0,35.2,11.2,6,3
A3,32.0,45.1,13.1,6,3
A4,40.0,53.3,13.3,6,3
A5,48.0,59.2,11.2,6,3
A0,8.0,22.0,14.0,6,4
A1,16.0,29.9,13.9,6,4
A2,24.0,37.0,13.0,6,4
A3,32.0,46.9,14.9,6,4
A4,40.0,54.3,14.3,6,4
A5,48.0,60.2,12.2,6,4
A0,8.0,26.1,18.1,6,5
A1,16.0,32.0,16.0,6,5
A2,24.0,37.9,13.9,6,5
A3,32.0,46.9,14.9,6,5
A4,40.0,52.9,12.9,6,5
A5,48.0,60.2,12.2,6,5
A0,6.0,17.9,11.9,8,1
A1,12.0,26.7,14.7,8,1
A2,18.0,31.4,13.4,8,1
A3,24.0,41.2,17.2,8,1
A4,30.0,45.4,15.4,8,1
A5,36.0,55.1,19.1,8,1
A6,42.0,57.8,15.8,8,1
A7,48.0,64.8,16.8,8,1
A0,6.0,16.9,10.9,8,2
A1,12.0,26.2,14.2,8,2
A2,18.0,32.6,14.6,8,2
A3,24.0,40.1,16.1,8,2
A4,30.0,43.1,13.1,8,2
A5,36.0,50.1,14.1,8,2
A6,42.0,55.3,13.3,8,2
A7,48.0,60.8,12.8,8,2
A0,6.0,17.9,11.9,8,3
A1,12.0,28.1,16.1,8,3
A2,18.0,30.3,12.3,8,3
A3,24.0,36.0,12.0,8,3
A4,30.1,46.1,16.0,8,3
A5,36.1,48.3,12.2,8,3
A6,42.1,57.4,15.3,8,3
A7,48.4,65.2,16.8,8,3
A0,6.0,20.9,14.9,8,4
A1,12.0,30.2,18.2,8,4
A2,18.0,29.0,11.0,8,4
A3,24.0,38.2,14.2,8,4
A4,30.0,45.4,15.4,8,4
A5,36.0,53.1,17.1,8,4
A6,42.0,51.9,9.9,8,4
A7,48.0,67.2,19.2,8,4
A0,6.0,20.1,14.1,8,5
A1,12.0,28.1,16.1,8,5
A2,18.0,28.8,10.8,8,5
A3,24.0,34.2,10.2,8,5
A4,30.0,44.4,14.4,8,5
A5,36.0,54.1,18.1,8,5
A6,42.0,54.2,12.2,8,5
A7,48.0,60.8,12.8,8,5
A0,5.0,16.9,11.9,10,1
A1,10.0,24.8,14.8,10,1
A2,15.0,32.1,17.1,10,1
A3,20.0,33.4,13.4,10,1
A4,25.0,38.2,13.2,10,1
A5,30.0,43.9,13.9,10,1
A6,35.0,53.2,18.2,10,1
A7,40.0,53.3,13.3,10,1
A8,45.0,59.2,14.2,10,1
A9,50.1,73.3,23.2,10,1
A0,5.0,20.8,15.8,10,2
A1,10.0,19.8,9.8,10,2
A2,15.0,25.8,10.8,10,2
A3,20.0,30.2,10.2,10,2
A4,25.5,41.6,16.1,10,2
A5,30.5,44.9,14.4,10,2
A6,35.5,47.4,11.9,10,2
A7,40.5,55.8,15.3,10,2
A8,45.5,62.8,17.3,10,2
A9,50.5,65.3,14.8,10,2
A0,5.0,17.9,12.9,10,3
A1,10.0,20.8,10.8,10,3
A2,15.0,33.1,18.1,10,3
A3,20.0,31.1,11.1,10,3
A4,25.0,39.6,14.6,10,3
A5,30.0,44.8,14.8,10,3
A6,35.0,49.4,14.4,10,3
A7,40.0,54.0,14.0,10,3
A8,45.1,64.0,18.9,10,3
A9,50.1,68.3,18.2,10,3
A0,5.0,18.8,13.8,10,4
A1,10.0,26.1,16.1,10,4
A2,15.0,29.2,14.2,10,4
A3,20.0,30.8,10.8,10,4
A4,25.0,42.7,17.7,10,4
A5,30.0,45.6,15.6,10,4
A6,35.0,48.7,13.7,10,4
A7,40.3,58.2,17.9,10,4
A8,45.3,64.1,18.8,10,4
A9,50.3,60.7,10.4,10,4
A0,5.0,17.9,12.9,10,5
A1,10.0,28.2,18.2,10,5
A2,15.0,29.1,14.1,10,5
A3,20.0,30.2,10.2,10,5
A4,25.0,39.1,14.1,10,5
A5,30.0,43.3,13.3,10,5
A6,35.0,53.3,18.3,10,5
A7,40.0,56.5,16.5,10,5
A8,45.0,62.9,17.9,10,5
A9,50.0,62.2,12.2,10,5
