aircraft_id,tug_id,operation_index,start_time_tug_operation,end_time_tug_operation,duration_tug_operation,moving_time_during_tug_operation,idle_time_during_tug_operation,charging_time
A0,T2,0,5.0,21.1,16.1,15.0,1.3,0.0
A1,T1,0,10.0,28.2,18.2,17.4,1.0,4.2
A10,T3,2,55.0,69.4,14.4,14.0,0.5,8.2
A11,T4,1,60.0,75.3,15.3,15.0,0.4,0.0
A12,T1,2,65.4,83.8,18.4,29.9,1.2,4.2
A13,T3,3,70.4,83.8,13.4,13.0,0.5,8.2
A14,T4,2,75.4,90.7,15.3,15.0,0.4,0.0
A2,T5,0,15.0,28.2,13.2,12.4,0.9,0.0
A3,T3,0,20.0,33.9,13.9,14.5,0.6,8.2
A4,T4,0,25.0,43.6,18.6,17.4,1.3,0.0
A5,T1,1,30.0,43.8,13.8,13.0,1.0,4.2
A6,T5,1,35.0,49.1,14.1,13.0,1.2,0.0
A7,T3,1,40.0,54.3,14.3,14.0,0.5,8.2
A9,T2,1,50.0,67.1,17.1,24.0,0.7,0.0
